geoid,name,median
26069,"Iosco County, Michigan",42102
16063,"Lincoln County, Idaho",48222
39005,"Ashland County, Ohio",52730
29081,"Harrison County, Missouri",40168
36053,"Madison County, New York",60228
72025,"Caguas Municipio, Puerto Rico",25006
22031,"De Soto Parish, Louisiana",44230
39119,"Muskingum County, Ohio",45276
29101,"Johnson County, Missouri",53056
48455,"Trinity County, Texas",40407
06075,"San Francisco County, California",104552
17019,"Champaign County, Illinois",51692
20001,"Allen County, Kansas",42679
21153,"Magoffin County, Kentucky",29516
06111,"Ventura County, California",84017
05023,"Cleburne County, Arkansas",43391
49005,"Cache County, Utah",56840
17097,"Lake County, Illinois",86244
13167,"Johnson County, Georgia",39813
31047,"Dawson County, Nebraska",53769
05091,"Miller County, Arkansas",41903
48033,"Borden County, Texas",81985
56039,"Teton County, Wyoming",83831
20055,"Finney County, Kansas",56573
12017,"Citrus County, Florida",41424
17003,"Alexander County, Illinois",34709
19169,"Story County, Iowa",54554
19111,"Lee County, Iowa",48571
26135,"Oscoda County, Michigan",40255
13273,"Terrell County, Georgia",38015
17197,"Will County, Illinois",83504
48139,"Ellis County, Texas",72213
27079,"Le Sueur County, Minnesota",67451
29171,"Putnam County, Missouri",37367
13021,"Bibb County, Georgia",39931
31103,"Keya Paha County, Nebraska",49688
48279,"Lamb County, Texas",43396
72003,"Aguada Municipio, Puerto Rico",16347
47085,"Humphreys County, Tennessee",41510
06069,"San Benito County, California",81977
28121,"Rankin County, Mississippi",64557
33011,"Hillsborough County, New Hampshire",78655
02230,"Skagway Municipality, Alaska",72237
13311,"White County, Georgia",46288
20169,"Saline County, Kansas",50515
16015,"Boise County, Idaho",53942
38033,"Golden Valley County, North Dakota",56087
05063,"Independence County, Arkansas",43523
20201,"Washington County, Kansas",48889
19179,"Wapello County, Iowa",45233
21165,"Menifee County, Kentucky",39905
48045,"Briscoe County, Texas",42647
47145,"Roane County, Tennessee",50003
21205,"Rowan County, Kentucky",37639
51177,"Spotsylvania County, Virginia",85330
29083,"Henry County, Missouri",43911
02050,"Bethel Census Area, Alaska",54212
17009,"Brown County, Illinois",58762
12079,"Madison County, Florida",35509
51067,"Franklin County, Virginia",52639
46019,"Butte County, South Dakota",44387
38103,"Wells County, North Dakota",57989
21155,"Marion County, Kentucky",38544
19053,"Decatur County, Iowa",42614
29089,"Howard County, Missouri",50372
30101,"Toole County, Montana",46823
46037,"Day County, South Dakota",44145
21099,"Hart County, Kentucky",37795
37127,"Nash County, North Carolina",48362
13053,"Chattahoochee County, Georgia",46453
37141,"Pender County, North Carolina",52989
72085,"Las Piedras Municipio, Puerto Rico",21792
46033,"Custer County, South Dakota",55472
26141,"Presque Isle County, Michigan",46439
28027,"Coahoma County, Mississippi",30009
37029,"Camden County, North Carolina",63349
13281,"Towns County, Georgia",43927
38037,"Grant County, North Dakota",50962
29109,"Lawrence County, Missouri",43373
37169,"Stokes County, North Carolina",46169
37019,"Brunswick County, North Carolina",54406
04013,"Maricopa County, Arizona",61606
20091,"Johnson County, Kansas",84915
39071,"Highland County, Ohio",43297
31099,"Kearney County, Nebraska",56952
06037,"Los Angeles County, California",64251
48249,"Jim Wells County, Texas",42005
46049,"Faulk County, South Dakota",53889
36115,"Washington County, New York",54114
54097,"Upshur County, West Virginia",40401
47091,"Johnson County, Tennessee",34151
36021,"Columbia County, New York",63032
51139,"Page County, Virginia",47951
05035,"Crittenden County, Arkansas",39002
08051,"Gunnison County, Colorado",54979
27149,"Stevens County, Minnesota",58363
29099,"Jefferson County, Missouri",63030
27103,"Nicollet County, Minnesota",65027
22025,"Catahoula Parish, Louisiana",38854
47119,"Maury County, Tennessee",54249
13127,"Glynn County, Georgia",50672
40053,"Grant County, Oklahoma",56287
19101,"Jefferson County, Iowa",43378
19029,"Cass County, Iowa",48178
08099,"Prowers County, Colorado",40097
24045,"Wicomico County, Maryland",56608
51115,"Mathews County, Virginia",67009
21111,"Jefferson County, Kentucky",54357
48159,"Franklin County, Texas",52944
08041,"El Paso County, Colorado",65334
31121,"Merrick County, Nebraska",54197
06103,"Tehama County, California",42899
