Year,Volcano Name,Country,Elevation,Volcanic Explosivity Index,Latitude,Longitude
1877,Cotopaxi,Ecuador,5911,4.0,-0.677,-78.436
1892,Awu,Indonesia,1320,3.0,3.67,125.5
1895,Semeru,Indonesia,3676,2.0,-8.108,112.92
1895,Karkar,Papua New Guinea,1839,2.0,-4.649,145.964
1904,Karthala,Comoros,2361,2.0,-11.75,43.38
1906,Vesuvius,Italy,1281,3.0,40.821,14.426
1928,Etna,Italy,3350,1.0,37.734,15.004
1929,Calbuco,Chile,2003,3.0,-41.326,-72.614
1930,Merapi,Indonesia,2947,3.0,-7.542,110.442
1933,Kuchinoerabu-jima,Japan,649,4.0,30.43,130.22
1950,Semeru,Indonesia,3676,1.0,-8.108,112.92
1972,"Fournaise, Piton de la",Reunion,2631,2.0,-21.229,55.713
1978,Usu,Japan,731,3.0,42.53,140.83
2002,Reventador,Ecuador,3562,4.0,-0.078,-77.656
2011,Tungurahua,Ecuador,5023,4.0,-1.467,-78.442
-455,Cotopaxi,Ecuador,5911,4.0,-0.677,-78.436
240,Ksudach,Russia,1079,6.0,51.8,157.53
1362,Oraefajokull,Iceland,2119,5.0,64.0,-16.65
1385,Kelut,Indonesia,1731,3.0,-7.93,112.308
1630,Furnas,Portugal,805,4.0,37.77,-25.32
1669,Etna,Italy,3350,3.0,37.734,15.004
1670,Aoba,Vanuatu,1496,2.0,-15.4,167.83
1690,Guntur,Indonesia,2249,3.0,-7.13,107.83
1766,Mayon,Philippines,2462,3.0,13.257,123.685
1780,Aoga-shima,Japan,423,3.0,32.45,139.77
1784,Grimsvotn,Iceland,1725,4.0,64.42,-17.33
1840,Gamalama,Indonesia,1715,2.0,0.8,127.325
1878,Rabaul,Papua New Guinea,688,3.0,-4.271,152.203
1890,Victory,Papua New Guinea,1925,2.0,-9.2,149.07
1913,Asama,Japan,2560,1.0,36.4,138.53
1926,Tokachi,Japan,2077,3.0,43.42,142.68
1932,Fuego,Guatemala,3763,4.0,14.473,-90.88
1964,Villarrica,Chile,2847,2.0,-39.42,-71.93
1967,Deception Island,Antarctica,576,3.0,-62.97,-60.65
1974,Merapi,Indonesia,2947,2.0,-7.542,110.442
1977,Nyiragongo,"Congo, DRC",3470,1.0,-1.52,29.25
1988,Lonquimay,Chile,2865,3.0,-38.377,-71.58
1991,Unzen,Japan,1500,1.0,32.75,130.3
1993,Guagua Pichincha,Ecuador,4784,1.0,-0.171,-78.598
2008,Tungurahua,Ecuador,5023,3.0,-1.467,-78.442
2011,Nabro,Eritrea,2218,3.0,13.37,41.7
-3580,Taal,Philippines,400,6.0,14.002,120.993
-2040,Long Island,Papua New Guinea,1280,6.0,-5.358,147.12
1580,San Jorge,Portugal,1053,3.0,38.65,-28.08
1581,Fuego,Guatemala,3763,4.0,14.473,-90.88
1625,Katla,Iceland,1512,5.0,63.63,-19.05
1660,Teon,Pacific Ocean,655,4.0,-6.92,129.125
1773,Gamalama,Indonesia,1715,2.0,0.8,127.325
1779,Vesuvius,Italy,1281,2.0,40.821,14.426
1801,Chokai,Japan,2237,2.0,39.08,140.03
1804,Shikotsu,Japan,1320,3.0,42.7,141.33
1820,Westdahl,United States,1654,2.0,54.52,-164.65
1845,Hekla,Iceland,1491,4.0,63.98,-19.7
1867,Zao,Japan,1841,2.0,38.15,140.45
1870,Aoba,Vanuatu,1496,2.0,-15.4,167.83
1953,Aso,Japan,1592,2.0,32.88,131.1
1963,Irazu,Costa Rica,3432,3.0,9.979,-83.852
1974,Ritter Island,Papua New Guinea,140,1.0,-5.52,148.121
1986,Merapi,Indonesia,2947,2.0,-7.542,110.442
1987,Pacaya,Guatemala,2552,3.0,14.381,-90.601
2000,Miyake-jima,Japan,815,2.0,34.08,139.53
2006,Mayon,Philippines,2462,1.0,13.257,123.685
-1860,St. Helens,United States,2549,6.0,46.2,-122.18
230,Taupo,New Zealand,760,6.0,-38.82,176.0
1566,Kirishima,Japan,1700,3.0,31.93,130.87
1597,Hekla,Iceland,1491,4.0,63.98,-19.7
1640,Tungurahua,Ecuador,5023,3.0,-1.467,-78.442
1650,Santorini,Greece,329,4.0,36.404,25.396
1660,Katla,Iceland,1512,4.0,63.63,-19.05
1672,Merapi,Indonesia,2947,3.0,-7.542,110.442
1717,Kirishima,Japan,1700,3.0,31.93,130.87
1741,Oshima-Oshima,Japan,737,4.0,41.5,139.37
1753,Grimsvotn,Iceland,1725,2.0,64.42,-17.33
1780,Sakura-jima,Japan,1117,4.0,31.58,130.67
1817,Raung,Indonesia,3332,4.0,-8.125,114.042
1833,Kaba,Indonesia,1952,2.0,-3.52,102.62
1841,Kuchinoerabu-jima,Japan,649,2.0,30.43,130.22
1843,Liamuiga,St. Kitts & Nevis,1156,0.0,17.37,-62.8
1871,Ruang,Indonesia,725,2.0,2.28,125.425
1899,Manam,Papua New Guinea,1807,2.0,-4.1,145.061
1900,Kirishima,Japan,1700,2.0,31.93,130.87
1928,Mayon,Philippines,2462,3.0,13.257,123.685
1937,Rabaul,Papua New Guinea,688,4.0,-4.271,152.203
1946,Sakura-jima,Japan,1117,2.0,31.58,130.67
1953,St. Andrew Strait,Papua New Guinea,270,0.0,-2.38,147.35
1976,Sangay,Ecuador,5230,3.0,-2.03,-78.33
1977,Kliuchevskoi,Russia,4835,3.0,56.057,160.638
1992,Karangetang [Api Siau],Indonesia,1784,1.0,2.78,125.48
1994,Rabaul,Papua New Guinea,688,3.0,-4.271,152.203
1997,Merapi,Indonesia,2947,2.0,-7.542,110.442
2005,Manam,Papua New Guinea,1807,4.0,-4.1,145.061
2015,Manam,Papua New Guinea,1807,2.0,-4.1,145.061
1262,Katla,Iceland,1512,3.0,63.63,-19.05
1300,Hekla,Iceland,1491,4.0,63.98,-19.7
