OBJECTID,NAME,2019 White Pop.,2019 Black Pop.,2019 Native American Pop.,2019 Asian pop.,2019 Pacific Islander Pop.,2019 Other Race,2019 races 2+ pop.,2019 Hisp. Pop.,2019 Minority Pop.,2019 Base Pop.,2019 Diversity Index
133,Brichta,291,20,23,28,0,102,26,295,363,490,81.4
134,Cherry Avenue,5349,250,332,95,5,3687,374,8775,9273,10092,78.1
135,Fairgrounds,1200,57,122,4,1,836,64,2069,2198,2284,76.8
136,Bravo Park Lane,1906,125,139,50,2,1214,175,3093,3300,3611,78.8
137,Feldman`s,1642,114,51,415,1,181,119,538,1154,2523,69.9
138,Sugar Hill,890,189,61,96,1,301,102,624,973,1640,83.5
139,Toumey Park,1440,138,81,25,1,553,137,1299,1544,2375,81.2
140,El Encanto Estates,283,5,4,14,0,15,12,68,96,333,51.1
141,Colonia Solana,255,8,0,8,0,5,8,54,73,284,44.1
142,Winterhaven,472,23,7,16,4,49,26,145,206,597,60.2
143,Barrio Kroeger Lane,141,22,18,3,0,72,11,157,195,267,85.2
144,Palo Verde Park,3206,143,88,94,12,402,219,1278,1664,4164,65.8
145,Aldea Linda,171,8,2,12,2,14,12,63,95,221,64.5
146,St. Cyrils,1774,144,41,65,6,162,153,620,917,2345,64.7
147,Arcadia Rose,315,16,6,6,0,22,23,80,116,388,55.7
148,Saguaro Canyon,539,23,5,20,1,29,28,133,199,645,52.8
149,Barrio Nopal,3035,125,289,19,6,2322,222,5252,5611,6018,80
150,Santiago Hills,602,27,20,12,0,212,33,559,612,906,76.6
151,Coronado Heights,866,110,87,28,4,424,92,926,1172,1611,84.8
152,Harold Bell Wright Estates,830,39,13,11,2,60,24,229,298,979,53.8
153,Carriage Park,5512,530,81,208,25,572,334,1838,2812,7262,63.8
154,Copper Vista,1246,26,100,5,0,937,86,2170,2263,2400,77.6
155,West Lamar City Acres,259,3,19,0,0,81,16,340,358,378,61.7
156,Loma Verde,371,19,6,20,0,49,23,139,194,488,65.6
157,Downtown,110,7,3,6,0,15,10,47,67,151,69.8
158,Barrio Santa Cruz,118,12,14,4,0,57,9,146,169,214,82.3
159,Bonanza,4108,275,44,180,11,299,206,964,1577,5123,55.1
