STATE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
MN,1,Minimal,2017-11-04,44,2017-18
CA,2,Minimal,2017-11-04,44,2017-18
TN,1,Minimal,2017-11-04,44,2017-18
ND,1,Minimal,2017-11-04,44,2017-18
VT,1,Minimal,2017-11-04,44,2017-18
SC,6,Moderate,2017-11-04,44,2017-18
AK,2,Minimal,2017-11-04,44,2017-18
ID,1,Minimal,2017-11-04,44,2017-18
MD,1,Minimal,2017-11-04,44,2017-18
MA,2,Minimal,2017-11-04,44,2017-18
NE,2,Minimal,2017-11-04,44,2017-18
MI,1,Minimal,2017-11-04,44,2017-18
PR,3,Minimal,2017-11-04,44,2017-18
WV,1,Minimal,2017-11-04,44,2017-18
UT,1,Minimal,2017-11-04,44,2017-18
NV,2,Minimal,2017-11-04,44,2017-18
TX,3,Minimal,2017-11-04,44,2017-18
LA,7,Moderate,2017-11-04,44,2017-18
DE,1,Minimal,2017-11-04,44,2017-18
SD,3,Minimal,2017-11-04,44,2017-18
RI,1,Minimal,2017-11-04,44,2017-18
IL,1,Minimal,2017-11-04,44,2017-18
CT,1,Minimal,2017-11-04,44,2017-18
GA,4,Low,2017-11-04,44,2017-18
OH,1,Minimal,2017-11-04,44,2017-18
HI,1,Minimal,2017-11-04,44,2017-18
DC,2,Minimal,2017-11-04,44,2017-18
OK,2,Minimal,2017-11-04,44,2017-18
FL,1,Minimal,2017-11-04,44,2017-18
MO,1,Minimal,2017-11-04,44,2017-18
NM,1,Minimal,2017-11-04,44,2017-18
AR,1,Minimal,2017-11-04,44,2017-18
IN,2,Minimal,2017-11-04,44,2017-18
MS,4,Low,2017-11-04,44,2017-18
MT,1,Minimal,2017-11-04,44,2017-18
WA,1,Minimal,2017-11-04,44,2017-18
NH,1,Minimal,2017-11-04,44,2017-18
AZ,3,Minimal,2017-11-04,44,2017-18
LA,8,High,2017-11-11,45,2017-18
SD,4,Low,2017-11-11,45,2017-18
NJ,2,Minimal,2017-11-11,45,2017-18
AZ,3,Minimal,2017-11-11,45,2017-18
VA,3,Minimal,2017-11-11,45,2017-18
NE,3,Minimal,2017-11-11,45,2017-18
FL,2,Minimal,2017-11-11,45,2017-18
MI,2,Minimal,2017-11-11,45,2017-18
MO,1,Minimal,2017-11-11,45,2017-18
KY,1,Minimal,2017-11-11,45,2017-18
WA,1,Minimal,2017-11-11,45,2017-18
MN,1,Minimal,2017-11-11,45,2017-18
AR,1,Minimal,2017-11-11,45,2017-18
OK,3,Minimal,2017-11-11,45,2017-18
GA,5,Low,2017-11-11,45,2017-18
OH,1,Minimal,2017-11-11,45,2017-18
IL,1,Minimal,2017-11-11,45,2017-18
WV,1,Minimal,2017-11-11,45,2017-18
CO,2,Minimal,2017-11-11,45,2017-18
UT,1,Minimal,2017-11-11,45,2017-18
ID,1,Minimal,2017-11-11,45,2017-18
ND,1,Minimal,2017-11-11,45,2017-18
